,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
May-1991,,1972.1,1972.8,,1127.9,1127.8,,844.3,845.0,,1532.7,1523.8,,1030.2,1028.3,,502.5,495.5,449.0,99.5,349.5,,57.0,57.0,,66.5,66.5,,47.8,47.9,,219.1,219.6,,126.0,125.8,,93.1,93.9,179.2,109.9,69.2,40.5,15.8,24.6,,10.0,10.0,,10.1,10.0,,9.9,10.0,10.5,9.7,12.3,8.3,13.7,6.6,,2191.3,2192.4,,1253.9,1253.6,,937.3,938.8,,63.3,63.3,,73.9,73.9,,53.1,53.2,1269.8,443.1,826.7,3462.3,1696.7,1765.5
Jun-1991,,1958.5,1962.8,,1112.2,1117.8,,846.3,845.0,,1514.5,1507.4,,1013.1,1015.6,,501.3,491.8,455.3,102.2,353.1,,56.5,56.6,,65.5,65.8,,47.9,47.8,,224.5,212.1,,135.5,127.6,,89.1,84.5,177.7,117.7,60.0,34.4,9.9,24.5,,10.3,9.8,,10.9,10.2,,9.5,9.1,10.5,10.4,10.9,7.0,8.8,6.5,,2183.1,2174.9,,1247.7,1245.4,,935.4,929.5,,63.0,62.8,,73.5,73.3,,52.9,52.6,1290.1,452.6,837.5,3465.0,1697.9,1767.0
Jul-1991,,1957.2,1948.2,,1117.4,1114.1,,839.8,834.1,,1519.6,1510.0,,1016.3,1013.2,,503.3,496.8,438.2,100.9,337.3,,56.4,56.1,,65.6,65.4,,47.5,47.1,,219.9,211.6,,132.7,127.8,,87.3,83.8,178.1,115.3,62.8,33.5,12.5,20.9,,10.1,9.8,,10.6,10.3,,9.4,9.1,10.6,10.2,11.2,7.1,11.1,5.8,,2177.1,2159.8,,1250.1,1241.9,,927.1,917.9,,62.7,62.2,,73.4,72.9,,52.4,51.9,1313.2,461.4,851.8,3473.0,1703.3,1769.7
Aug-1991,,1966.8,1963.6,,1117.8,1112.3,,849.0,851.4,,1518.3,1513.7,,1018.7,1012.2,,499.7,501.6,449.9,100.1,349.8,,56.6,56.5,,65.6,65.3,,47.9,48.1,,222.3,211.1,,139.7,135.5,,82.6,75.6,180.8,124.3,56.5,30.3,11.2,19.1,,10.2,9.7,,11.1,10.9,,8.9,8.2,10.7,10.9,10.1,6.3,10.1,5.2,,2189.0,2174.7,,1257.5,1247.8,,931.6,926.9,,63.0,62.6,,73.8,73.2,,52.6,52.3,1300.8,456.6,844.2,3475.5,1704.4,1771.1
Sep-1991,,1972.1,1989.4,,1118.0,1121.9,,854.1,867.5,,1517.2,1523.6,,1014.7,1014.7,,502.6,508.9,465.8,107.2,358.6,,56.7,57.2,,65.6,65.8,,48.2,48.9,,238.0,236.9,,145.4,144.9,,92.7,91.9,196.4,132.1,64.3,40.5,12.8,27.7,,10.8,10.6,,11.5,11.4,,9.8,9.6,11.4,11.5,11.2,8.0,10.7,7.2,,2210.1,2226.2,,1263.4,1266.8,,946.8,959.4,,63.5,64.0,,74.1,74.3,,53.4,54.1,1251.8,438.7,813.1,3478.1,1705.5,1772.5
Oct-1991,,1970.9,1974.7,,1125.6,1126.0,,845.3,848.7,,1523.9,1529.3,,1018.4,1020.5,,505.6,508.9,445.4,105.5,339.9,,56.6,56.7,,66.0,66.0,,47.7,47.9,,227.3,214.1,,138.0,131.1,,89.3,83.0,182.5,122.4,60.1,31.6,8.7,22.9,,10.3,9.8,,10.9,10.4,,9.6,8.9,10.7,10.7,10.6,6.6,7.6,6.3,,2198.2,2188.8,,1263.5,1257.1,,934.7,931.7,,63.2,62.9,,74.1,73.7,,52.7,52.5,1291.0,449.1,841.9,3479.8,1706.2,1773.7
Nov-1991,,1948.5,1949.3,,1110.7,1106.0,,837.8,843.3,,1502.5,1499.9,,1001.6,998.3,,500.9,501.6,449.4,107.7,341.7,,56.0,56.0,,65.1,64.8,,47.2,47.5,,234.3,221.8,,143.6,138.3,,90.7,83.5,190.0,127.8,62.2,31.8,10.6,21.3,,10.7,10.2,,11.5,11.1,,9.8,9.0,11.2,11.3,11.0,6.6,8.9,5.9,,2182.8,2171.1,,1254.4,1244.3,,928.5,926.8,,62.7,62.4,,73.5,72.9,,52.3,52.2,1310.5,462.5,848.0,3481.5,1706.8,1774.8
Dec-1991,,1959.4,1986.5,,1115.7,1129.6,,843.7,856.9,,1517.5,1544.4,,1015.6,1030.8,,501.9,513.6,442.2,98.8,343.3,,56.3,57.0,,65.3,66.2,,47.5,48.3,,242.6,250.7,,147.1,151.7,,95.5,99.0,206.8,135.8,71.0,43.9,15.9,28.0,,11.0,11.2,,11.7,11.8,,10.2,10.4,11.8,11.6,12.2,9.0,13.9,7.5,,2202.1,2237.2,,1262.8,1281.3,,939.2,955.9,,63.2,64.2,,74.0,75.0,,52.9,53.8,1246.1,426.1,820.0,3483.3,1707.4,1775.9
Jan-1992,,1971.6,1941.4,,1121.8,1116.1,,849.9,825.3,,1515.7,1518.1,,1016.8,1015.7,,498.9,502.4,423.4,100.4,323.0,,56.6,55.7,,65.6,65.3,,47.8,46.4,,242.0,255.3,,144.3,153.8,,97.7,101.4,218.6,141.1,77.5,36.7,12.8,23.9,,10.9,11.6,,11.4,12.1,,10.3,10.9,12.6,12.2,13.4,8.0,11.3,6.9,,2213.6,2196.7,,1266.1,1270.0,,947.5,926.8,,63.5,63.0,,74.1,74.3,,53.3,52.1,1289.7,439.0,850.7,3486.4,1708.9,1777.5
Feb-1992,,1955.8,1947.4,,1117.2,1117.3,,838.5,830.1,,1500.6,1504.8,,1004.2,1009.3,,496.5,495.6,442.6,108.1,334.5,,56.0,55.8,,65.3,65.3,,47.1,46.7,,241.6,269.0,,145.2,158.4,,96.4,110.6,233.4,145.6,87.8,35.6,12.8,22.8,,11.0,12.1,,11.5,12.4,,10.3,11.8,13.4,12.6,15.1,7.4,10.6,6.4,,2197.3,2216.4,,1262.5,1275.7,,934.9,940.7,,63.0,63.5,,73.8,74.6,,52.5,52.9,1273.1,434.7,838.4,3489.5,1710.4,1779.1
Mar-1992,,1944.7,1947.2,,1113.8,1115.0,,830.9,832.2,,1490.6,1486.9,,1001.9,999.5,,488.7,487.4,460.3,115.5,344.7,,55.7,55.8,,65.1,65.1,,46.7,46.7,,253.2,263.9,,156.0,158.6,,97.2,105.3,221.9,145.2,76.6,42.0,13.3,28.7,,11.5,11.9,,12.3,12.5,,10.5,11.2,13.0,12.7,13.6,8.4,10.3,7.7,,2197.9,2211.1,,1269.8,1273.6,,928.1,937.5,,62.9,63.3,,74.2,74.4,,52.1,52.6,1281.5,438.3,843.2,3492.6,1711.9,1780.7
Apr-1992,,1939.3,1944.0,,1114.7,1118.3,,824.6,825.7,,1480.1,1475.2,,998.7,999.7,,481.4,475.5,468.8,118.6,350.2,,55.5,55.6,,65.1,65.3,,46.3,46.3,,250.8,251.7,,153.1,150.8,,97.7,101.0,215.8,136.9,78.8,36.0,13.9,22.1,,11.5,11.5,,12.1,11.9,,10.6,10.9,12.8,12.0,14.2,7.1,10.5,5.9,,2190.2,2195.7,,1267.9,1269.0,,922.3,926.7,,62.7,62.8,,74.0,74.1,,51.8,52.0,1298.4,443.6,854.8,3494.1,1712.6,1781.6
May-1992,,1938.1,1939.1,,1114.5,1114.6,,823.6,824.5,,1482.0,1474.7,,996.4,994.9,,485.7,479.8,464.4,119.7,344.8,,55.4,55.5,,65.0,65.1,,46.2,46.3,,255.2,255.3,,155.3,154.8,,99.8,100.5,222.5,144.2,78.3,32.8,10.6,22.2,,11.6,11.6,,12.2,12.2,,10.8,10.9,13.1,12.7,14.0,6.6,8.1,6.1,,2193.3,2194.4,,1269.8,1269.4,,923.5,925.0,,62.7,62.8,,74.1,74.1,,51.8,51.9,1301.3,443.9,857.4,3495.7,1713.3,1782.4
Jun-1992,,1950.5,1950.9,,1122.2,1123.5,,828.3,827.4,,1486.9,1478.8,,1000.1,999.9,,486.8,478.9,472.1,123.6,348.5,,55.8,55.8,,65.5,65.6,,46.4,46.4,,255.9,247.9,,154.1,149.1,,101.7,98.8,215.0,139.4,75.6,32.9,9.7,23.2,,11.6,11.3,,12.1,11.7,,10.9,10.7,12.7,12.2,13.6,6.5,7.3,6.2,,2206.4,2198.8,,1276.3,1272.6,,930.0,926.2,,63.1,62.9,,74.5,74.2,,52.2,51.9,1298.4,441.4,857.0,3497.2,1714.0,1783.3
Jul-1992,,1948.4,1954.8,,1116.5,1119.7,,831.9,835.1,,1484.9,1488.1,,1002.8,1004.4,,482.1,483.7,466.7,115.3,351.4,,55.7,55.9,,65.1,65.3,,46.6,46.8,,265.0,249.1,,164.2,154.7,,100.9,94.4,216.8,142.9,73.9,32.3,11.8,20.5,,12.0,11.3,,12.8,12.1,,10.8,10.2,12.7,12.5,13.2,6.5,9.3,5.5,,2213.5,2203.9,,1280.7,1274.4,,932.8,929.5,,63.3,63.0,,74.7,74.3,,52.3,52.1,1294.7,440.2,854.5,3498.6,1714.5,1784.1
Aug-1992,,1949.9,1936.6,,1120.7,1112.1,,829.1,824.5,,1482.2,1467.6,,997.7,988.0,,484.5,479.5,469.0,124.1,344.9,,55.7,55.3,,65.3,64.8,,46.5,46.2,,250.2,237.7,,152.8,148.3,,97.4,89.4,202.9,136.2,66.6,34.9,12.1,22.8,,11.4,10.9,,12.0,11.8,,10.5,9.8,12.1,12.1,12.2,6.9,8.9,6.2,,2200.0,2174.3,,1273.5,1260.4,,926.5,913.9,,62.9,62.1,,74.3,73.5,,51.9,51.2,1325.6,454.7,870.9,3500.0,1715.1,1784.8
Sep-1992,,1940.9,1957.6,,1122.8,1126.2,,818.0,831.4,,1479.4,1485.7,,998.7,998.7,,480.7,487.0,471.9,127.5,344.4,,55.4,55.9,,65.4,65.6,,45.8,46.6,,242.6,243.0,,145.8,146.4,,96.8,96.6,201.7,134.4,67.3,41.3,12.0,29.3,,11.1,11.0,,11.5,11.5,,10.6,10.4,12.0,11.9,12.1,8.0,8.6,7.8,,2183.5,2200.6,,1268.6,1272.6,,914.8,928.0,,62.4,62.9,,73.9,74.2,,51.2,52.0,1300.7,443.1,857.7,3501.3,1715.7,1785.6
Oct-1992,,1945.5,1948.8,,1120.4,1120.7,,825.1,828.1,,1476.0,1479.7,,994.4,995.8,,481.6,483.9,469.1,124.9,344.2,,55.5,55.6,,65.3,65.3,,46.2,46.4,,255.4,241.1,,155.3,147.8,,100.1,93.3,197.9,131.3,66.5,43.3,16.5,26.8,,11.6,11.0,,12.2,11.7,,10.8,10.1,11.8,11.7,12.1,8.4,11.7,7.2,,2201.0,2190.0,,1275.7,1268.6,,925.3,921.4,,62.8,62.5,,74.3,73.9,,51.8,51.6,1312.5,447.5,865.0,3502.5,1716.0,1786.4
Nov-1992,,1939.0,1940.2,,1109.0,1105.0,,830.1,835.2,,1478.2,1475.8,,992.7,990.2,,485.4,485.7,464.4,114.9,349.5,,55.3,55.4,,64.6,64.4,,46.4,46.7,,261.5,248.5,,162.1,156.3,,99.4,92.2,209.7,143.0,66.7,38.8,13.3,25.5,,11.9,11.4,,12.8,12.4,,10.7,9.9,12.4,12.6,12.1,7.7,10.4,6.8,,2200.5,2188.7,,1271.1,1261.4,,929.4,927.4,,62.8,62.5,,74.1,73.5,,52.0,51.9,1314.9,455.0,859.8,3503.6,1716.4,1787.2
Dec-1992,,1941.7,1968.0,,1116.4,1130.4,,825.4,837.5,,1480.2,1505.7,,998.1,1013.4,,482.1,492.3,462.3,117.1,345.2,,55.4,56.2,,65.0,65.8,,46.2,46.8,,254.2,260.7,,149.9,152.8,,104.3,107.9,215.8,135.5,80.3,44.9,17.3,27.6,,11.6,11.7,,11.8,11.9,,11.2,11.4,12.5,11.8,14.0,8.9,12.9,7.4,,2195.9,2228.7,,1266.2,1283.2,,929.7,945.5,,62.7,63.6,,73.8,74.7,,52.0,52.9,1276.0,433.5,842.5,3504.8,1716.8,1788.0
Jan-1993,,1932.9,1902.6,,1108.8,1102.1,,824.1,800.5,,1464.6,1462.8,,992.5,990.1,,472.1,472.7,439.8,112.0,327.7,,55.1,54.3,,64.6,64.2,,46.1,44.7,,251.2,265.0,,158.0,168.0,,93.2,97.1,230.1,156.2,73.9,34.9,11.8,23.1,,11.5,12.2,,12.5,13.2,,10.2,10.8,13.6,13.6,13.5,7.4,9.5,6.6,,2184.1,2167.6,,1266.8,1270.1,,917.3,897.5,,62.3,61.8,,73.8,73.9,,51.3,50.2,1339.2,447.6,891.6,3506.8,1717.7,1789.2
Feb-1993,,1907.1,1899.5,,1095.6,1095.6,,811.6,803.8,,1455.3,1460.7,,986.8,992.1,,468.5,468.7,438.7,103.5,335.2,,54.4,54.1,,63.7,63.8,,45.3,44.9,,250.6,278.8,,154.3,168.3,,96.4,110.4,232.9,154.1,78.7,45.9,14.2,31.7,,11.6,12.8,,12.3,13.3,,10.6,12.1,13.7,13.4,14.4,9.5,12.1,8.6,,2157.8,2178.2,,1249.8,1263.9,,907.9,914.3,,61.5,62.1,,72.7,73.5,,50.7,51.1,1330.6,454.6,876.0,3508.8,1718.6,1790.3
Mar-1993,,1939.8,1942.2,,1112.2,1113.5,,827.6,828.7,,1484.4,1480.7,,1000.0,997.5,,484.4,483.2,461.5,116.0,345.4,,55.2,55.3,,64.7,64.8,,46.2,46.3,,253.6,264.0,,157.9,160.8,,95.7,103.2,218.3,142.1,76.2,45.7,18.8,26.9,,11.6,12.0,,12.4,12.6,,10.4,11.1,12.8,12.5,13.6,9.0,13.9,7.2,,2193.3,2206.2,,1270.1,1274.3,,923.2,931.9,,62.5,62.8,,73.9,74.1,,51.5,52.0,1304.7,445.1,859.6,3510.9,1719.5,1791.4
Apr-1993,,1930.2,1920.8,,1105.9,1103.3,,824.2,817.5,,1489.0,1475.0,,1000.0,994.9,,489.0,480.0,445.9,108.4,337.4,,55.0,54.7,,64.3,64.2,,46.0,45.6,,247.8,247.7,,156.1,153.6,,91.6,94.2,208.7,136.7,72.0,39.1,16.9,22.2,,11.4,11.4,,12.4,12.2,,10.0,10.3,12.4,12.1,13.0,8.1,13.5,6.2,,2177.9,2168.6,,1262.1,1256.9,,915.9,911.6,,62.0,61.8,,73.4,73.1,,51.1,50.9,1342.6,462.6,880.0,3511.2,1719.5,1791.6
May-1993,,1916.0,1917.0,,1099.5,1099.9,,816.4,817.1,,1474.7,1468.1,,992.6,991.4,,482.1,476.8,448.9,108.6,340.3,,54.6,54.6,,63.9,64.0,,45.6,45.6,,268.9,268.5,,166.0,165.3,,102.9,103.2,223.2,147.0,76.2,45.3,18.3,26.9,,12.3,12.3,,13.1,13.1,,11.2,11.2,13.2,12.9,13.8,9.2,14.4,7.3,,2184.9,2185.5,,1265.6,1265.2,,919.4,920.2,,62.2,62.2,,73.6,73.6,,51.3,51.4,1325.9,454.4,871.6,3511.4,1719.6,1791.8
Jun-1993,,1918.1,1919.0,,1104.6,1106.0,,813.5,813.0,,1480.4,1473.1,,998.6,998.2,,481.8,474.9,445.9,107.8,338.1,,54.6,54.6,,64.2,64.3,,45.4,45.4,,270.9,261.9,,162.5,157.1,,108.3,104.8,220.8,144.2,76.6,41.1,12.9,28.2,,12.4,12.0,,12.8,12.4,,11.8,11.4,13.0,12.6,13.9,8.4,10.7,7.7,,2189.0,2180.9,,1267.2,1263.1,,921.8,917.8,,62.3,62.1,,73.7,73.4,,51.4,51.2,1330.8,456.6,874.2,3511.7,1719.7,1792.0
Jul-1993,,1917.2,1923.2,,1108.0,1110.6,,809.2,812.7,,1471.1,1475.9,,996.1,997.6,,474.9,478.3,447.4,112.9,334.4,,54.6,54.8,,64.4,64.6,,45.1,45.3,,273.0,256.8,,167.1,157.7,,105.9,99.2,221.2,146.9,74.2,35.6,10.7,24.9,,12.5,11.8,,13.1,12.4,,11.6,10.9,13.0,12.8,13.4,7.4,8.7,6.9,,2190.2,2180.1,,1275.1,1268.2,,915.1,911.9,,62.4,62.1,,74.1,73.7,,51.0,50.9,1332.4,451.7,880.7,3512.5,1719.9,1792.6
Aug-1993,,1920.1,1905.6,,1101.4,1092.2,,818.7,813.3,,1473.2,1457.5,,994.7,984.5,,478.6,473.0,448.1,107.7,340.3,,54.7,54.2,,64.0,63.5,,45.7,45.4,,275.1,262.5,,168.6,164.0,,106.5,98.5,225.0,152.2,72.8,37.4,11.7,25.7,,12.5,12.1,,13.3,13.1,,11.5,10.8,13.4,13.4,13.3,7.7,9.8,7.0,,2195.2,2168.1,,1270.0,1256.2,,925.2,911.8,,62.5,61.7,,73.8,73.0,,51.6,50.9,1345.2,463.9,881.3,3513.3,1720.1,1793.2
Sep-1993,,1932.8,1949.4,,1116.3,1119.4,,816.4,830.0,,1479.9,1486.1,,999.3,999.4,,480.6,486.7,463.3,120.0,343.3,,55.0,55.5,,64.9,65.1,,45.5,46.3,,265.3,267.5,,152.9,154.9,,112.4,112.6,225.3,142.8,82.5,42.1,12.1,30.1,,12.1,12.1,,12.0,12.2,,12.1,11.9,13.2,12.5,14.5,8.3,9.1,8.1,,2198.0,2216.9,,1269.2,1274.3,,928.8,942.6,,62.5,63.1,,73.8,74.1,,51.8,52.6,1297.2,446.1,851.1,3514.1,1720.4,1793.7
Oct-1993,,1937.4,1940.7,,1111.9,1112.4,,825.5,828.4,,1481.4,1483.4,,1004.0,1004.9,,477.4,478.5,457.3,107.5,349.8,,55.1,55.2,,64.6,64.6,,46.0,46.2,,272.5,257.4,,161.3,153.5,,111.2,103.9,221.0,143.5,77.5,36.4,10.0,26.4,,12.3,11.7,,12.7,12.1,,11.9,11.1,13.0,12.5,13.9,7.4,8.5,7.0,,2209.9,2198.1,,1273.2,1265.9,,936.8,932.2,,62.9,62.5,,74.0,73.6,,52.2,52.0,1316.8,454.7,862.1,3514.9,1720.6,1794.3
Nov-1993,,1942.3,1943.6,,1114.9,1111.4,,827.4,832.2,,1477.4,1475.6,,1001.9,999.8,,475.6,475.8,468.0,111.6,356.4,,55.2,55.3,,64.8,64.6,,46.1,46.4,,272.0,258.8,,160.5,155.0,,111.5,103.8,217.0,144.6,72.5,41.8,10.4,31.4,,12.3,11.8,,12.6,12.2,,11.9,11.1,12.8,12.6,13.2,8.2,8.5,8.1,,2214.3,2202.4,,1275.4,1266.4,,938.9,936.0,,63.0,62.6,,74.1,73.6,,52.3,52.1,1313.2,454.4,858.9,3515.7,1720.8,1794.9
Dec-1993,,1935.3,1961.0,,1113.9,1128.1,,821.4,832.9,,1480.5,1505.1,,1005.1,1020.4,,475.5,484.7,455.9,107.7,348.2,,55.0,55.8,,64.7,65.5,,45.8,46.4,,268.7,273.5,,155.2,156.5,,113.5,117.1,229.7,142.3,87.3,43.9,14.1,29.7,,12.2,12.2,,12.2,12.2,,12.1,12.3,13.2,12.2,15.3,8.8,11.6,7.9,,2204.0,2234.6,,1269.1,1284.5,,934.9,950.0,,62.7,63.5,,73.7,74.6,,52.1,52.9,1281.9,436.5,845.4,3516.5,1721.1,1795.4
Jan-1994,,1933.2,1902.9,,1116.2,1109.1,,817.0,793.7,,1477.1,1472.8,,1001.3,998.3,,475.8,474.6,430.0,110.8,319.2,,54.9,54.1,,64.8,64.4,,45.5,44.2,,265.0,279.0,,155.9,165.4,,109.1,113.6,231.3,148.6,82.7,47.7,16.8,30.9,,12.1,12.8,,12.3,13.0,,11.8,12.5,13.6,13.0,14.8,10.0,13.2,8.8,,2198.2,2181.9,,1272.1,1274.6,,926.0,907.3,,62.5,62.0,,73.9,74.0,,51.6,50.5,1336.4,447.3,889.0,3518.3,1721.9,1796.4
Feb-1994,,1932.8,1925.4,,1103.9,1104.1,,828.8,821.3,,1467.9,1474.6,,988.7,994.6,,479.2,480.0,450.8,109.5,341.3,,54.9,54.7,,64.1,64.1,,46.1,45.7,,263.0,292.1,,157.7,171.5,,105.3,120.6,244.3,156.1,88.2,47.8,15.4,32.4,,12.0,13.2,,12.5,13.4,,11.3,12.8,14.2,13.6,15.5,9.6,12.3,8.7,,2195.8,2217.4,,1261.6,1275.6,,934.2,941.9,,62.4,63.0,,73.2,74.0,,52.0,52.4,1302.6,447.2,855.4,3520.0,1722.8,1797.3
Mar-1994,,1953.2,1956.1,,1115.1,1116.9,,838.1,839.2,,1479.5,1476.1,,998.9,996.6,,480.6,479.5,480.0,120.3,359.8,,55.5,55.5,,64.7,64.8,,46.6,46.7,,264.3,276.0,,157.2,160.8,,107.0,115.2,221.2,142.7,78.5,54.8,18.1,36.7,,11.9,12.4,,12.4,12.6,,11.3,12.1,13.0,12.5,14.1,10.3,13.1,9.3,,2217.5,2232.1,,1272.4,1277.7,,945.1,954.4,,63.0,63.4,,73.8,74.1,,52.6,53.1,1289.7,445.9,843.8,3521.8,1723.6,1798.2
Apr-1994,,1960.9,1964.9,,1125.1,1127.9,,835.8,837.0,,1482.4,1477.3,,1009.1,1009.6,,473.3,467.7,487.6,118.3,369.3,,55.7,55.8,,65.3,65.4,,46.5,46.5,,248.0,247.9,,145.2,142.7,,102.9,105.3,202.6,129.2,73.4,45.3,13.4,31.9,,11.2,11.2,,11.4,11.2,,11.0,11.2,12.1,11.3,13.6,8.5,10.2,7.9,,2208.9,2212.8,,1270.2,1270.6,,938.7,942.3,,62.7,62.8,,73.7,73.7,,52.2,52.4,1309.8,453.3,856.4,3522.6,1723.9,1798.7
May-1994,,1965.6,1966.5,,1125.5,1126.1,,840.1,840.3,,1484.2,1478.5,,1008.5,1007.5,,475.7,470.9,488.0,118.6,369.4,,55.8,55.8,,65.3,65.3,,46.7,46.7,,240.4,239.7,,143.0,142.5,,97.4,97.2,199.9,129.5,70.4,39.8,13.0,26.8,,10.9,10.9,,11.3,11.2,,10.4,10.4,11.9,11.4,13.0,7.5,9.9,6.8,,2206.0,2206.2,,1268.5,1268.7,,937.5,937.5,,62.6,62.6,,73.6,73.6,,52.1,52.1,1317.2,455.5,861.6,3523.4,1724.2,1799.2
Jun-1994,,1976.2,1977.5,,1134.1,1135.6,,842.0,842.0,,1488.7,1481.5,,1016.5,1015.4,,472.2,466.1,496.0,120.2,375.9,,56.1,56.1,,65.8,65.8,,46.8,46.8,,235.7,227.7,,140.6,135.9,,95.2,91.8,184.4,119.5,64.9,43.3,16.4,26.9,,10.7,10.3,,11.0,10.7,,10.2,9.8,11.1,10.5,12.2,8.0,12.0,6.7,,2211.9,2205.2,,1274.7,1271.5,,937.2,933.7,,62.8,62.6,,73.9,73.7,,52.1,51.9,1318.9,453.0,865.9,3524.2,1724.5,1799.7
Jul-1994,,1997.3,2003.3,,1148.4,1150.2,,848.9,853.1,,1499.0,1505.4,,1025.2,1026.5,,473.8,478.9,498.0,123.7,374.3,,56.6,56.8,,66.6,66.7,,47.1,47.4,,232.3,219.5,,132.0,124.9,,100.3,94.6,175.5,111.3,64.2,44.0,13.6,30.4,,10.4,9.9,,10.3,9.8,,10.6,10.0,10.4,9.8,11.8,8.1,9.9,7.5,,2229.6,2222.8,,1280.4,1275.1,,949.2,947.8,,63.2,63.0,,74.2,73.9,,52.7,52.6,1303.3,450.3,853.0,3526.1,1725.3,1800.8
Aug-1994,,1974.6,1958.2,,1133.3,1123.6,,841.3,834.6,,1480.6,1464.4,,1006.7,996.5,,474.0,467.9,493.8,127.1,366.6,,56.0,55.5,,65.7,65.1,,46.7,46.3,,239.9,229.3,,135.6,132.4,,104.3,96.9,185.2,118.1,67.0,44.1,14.2,29.9,,10.8,10.5,,10.7,10.5,,11.0,10.4,11.2,10.6,12.5,8.2,10.1,7.5,,2214.5,2187.5,,1268.9,1256.0,,945.6,931.5,,62.8,62.0,,73.5,72.8,,52.5,51.7,1340.5,470.2,870.3,3528.0,1726.2,1801.8
Sep-1994,,1998.3,2013.7,,1146.0,1148.4,,852.2,865.3,,1511.5,1516.8,,1028.9,1028.4,,482.5,488.4,496.9,120.0,376.9,,56.6,57.0,,66.4,66.5,,47.3,48.0,,224.0,227.5,,127.5,129.9,,96.5,97.6,176.5,114.0,62.5,51.0,15.9,35.1,,10.1,10.2,,10.0,10.2,,10.2,10.1,10.4,10.0,11.3,9.3,11.7,8.5,,2222.2,2241.2,,1273.5,1278.3,,948.7,962.9,,63.0,63.5,,73.7,74.0,,52.6,53.4,1288.7,448.7,840.0,3529.9,1727.0,1802.9
Oct-1994,,1999.4,2002.8,,1149.8,1150.3,,849.7,852.5,,1490.5,1490.8,,1020.8,1021.1,,469.6,469.8,511.9,129.2,382.8,,56.6,56.7,,66.6,66.6,,47.1,47.3,,215.5,203.5,,125.4,119.3,,90.1,84.2,167.0,107.0,60.0,36.5,12.3,24.2,,9.7,9.2,,9.8,9.4,,9.6,9.0,10.1,9.5,11.3,6.7,8.7,6.0,,2214.9,2206.3,,1275.2,1269.6,,939.8,936.7,,62.7,62.5,,73.8,73.5,,52.1,51.9,1325.0,457.9,867.0,3531.2,1727.5,1803.7
